step,gid,role,cut_kzt_marginal,reach_kzt_after,why
1,100000000331309100,distributor,34459491.91,331430520.1,"шаг 1: блокировка отсекает ещё 34,5 млн ₸ потока"
2,100000002224132100,transit,16316020.0,315114500.1,"шаг 2: блокировка отсекает ещё 16,3 млн ₸ потока"
3,100000008748914100,transit,10647837.0,304466663.1,"шаг 3: блокировка отсекает ещё 10,6 млн ₸ потока"
4,100000005933757100,distributor,10585831.0,293880832.1,"шаг 4: блокировка отсекает ещё 10,6 млн ₸ потока"
5,100000005242320100,distributor,9651355.0,284229477.1,"шаг 5: блокировка отсекает ещё 9,7 млн ₸ потока"
6,100000000437046100,coordinator,9277244.0,274952233.1,"шаг 6: блокировка отсекает ещё 9,3 млн ₸ потока"
7,100000004400305100,distributor,9214580.0,265737653.1,"шаг 7: блокировка отсекает ещё 9,2 млн ₸ потока"
8,100000008603629100,coordinator,8203866.0,257533787.1,"шаг 8: блокировка отсекает ещё 8,2 млн ₸ потока"
9,100000008547948100,distributor,8187265.0,249346522.1,"шаг 9: блокировка отсекает ещё 8,2 млн ₸ потока"
10,100000007442518100,transit,6914649.0,242431873.1,"шаг 10: блокировка отсекает ещё 6,9 млн ₸ потока"
11,100000001857829100,consolidator,6880217.53,235551655.57,"шаг 11: блокировка отсекает ещё 6,9 млн ₸ потока"
12,100000001697501100,distributor,6864795.0,228686860.57,"шаг 12: блокировка отсекает ещё 6,9 млн ₸ потока"
13,100000008547844100,transit,6122543.0,222564317.57,"шаг 13: блокировка отсекает ещё 6,1 млн ₸ потока"
14,100000008710791100,distributor,6018021.0,216546296.57,"шаг 14: блокировка отсекает ещё 6,0 млн ₸ потока"
15,100000008477350100,coordinator,5573966.0,210972330.57,"шаг 15: блокировка отсекает ещё 5,6 млн ₸ потока"
16,100000003835149100,transit,5090320.0,205882010.57,"шаг 16: блокировка отсекает ещё 5,1 млн ₸ потока"
17,100000000274067100,transit,4576704.0,201305306.57,"шаг 17: блокировка отсекает ещё 4,6 млн ₸ потока"
18,100000008489922100,distributor,3922910.0,197382396.57,"шаг 18: блокировка отсекает ещё 3,9 млн ₸ потока"
19,100000003242289100,distributor,3854692.0,193527704.57,"шаг 19: блокировка отсекает ещё 3,9 млн ₸ потока"
20,100000003004487100,peripheral,3844137.8,189683566.77,"шаг 20: блокировка отсекает ещё 3,8 млн ₸ потока"
