gid,request_type,reason,in_kzt,in_deg,seed_reach
100000005075949100,outgoing,"граница выборки: получено 2,2 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",2226000.0,1,7
100000001053894100,outgoing,"граница выборки: получено 2,0 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",2000000.0,1,7
100000008175078100,outgoing,"граница выборки: получено 1,8 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1846711.0,1,7
100000008517061100,outgoing,"граница выборки: получено 1,8 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1844000.0,1,7
100000001131403100,outgoing,"граница выборки: получено 1,6 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1570000.0,1,7
100000002126791100,outgoing,"граница выборки: получено 1,3 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 9; исходящие не видны — запросите исходящие",1313000.0,1,9
100000003220685100,outgoing,"граница выборки: получено 1,3 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1306000.0,1,7
100000002884708100,outgoing,"граница выборки: получено 1,2 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 8; исходящие не видны — запросите исходящие",1171644.0,1,8
100000004035925100,outgoing,"граница выборки: получено 1,1 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1111588.0,1,7
100000005767403100,outgoing,"граница выборки: получено 1,1 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1100000.0,1,7
100000002671326100,outgoing,"граница выборки: получено 1,1 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1050000.0,1,7
100000002594214100,outgoing,"граница выборки: получено 1,0 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1000000.0,1,7
100000005042822100,outgoing,"граница выборки: получено 1,0 млн ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",1000000.0,1,7
100000003718715100,outgoing,"граница выборки: получено 915 тыс. ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",915000.0,1,7
100000004586598100,outgoing,"граница выборки: получено 761 тыс. ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",761255.0,1,7
100000000733940100,outgoing,"граница выборки: получено 752 тыс. ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",752000.0,1,7
100000002622822100,outgoing,"граница выборки: получено 750 тыс. ₸ от 1 плательщика, сюда доходят деньги курьеров: 9; исходящие не видны — запросите исходящие",750000.0,1,9
100000007330432100,outgoing,"граница выборки: получено 585 тыс. ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",584900.0,1,7
100000007865484100,outgoing,"граница выборки: получено 585 тыс. ₸ от 1 плательщика, сюда доходят деньги курьеров: 7; исходящие не видны — запросите исходящие",584600.0,1,7
100000003037476100,outgoing,"граница выборки: получено 555 тыс. ₸ от 3 плательщиков, сюда доходят деньги курьеров: 8; исходящие не видны — запросите исходящие",555000.0,3,8
100000000331309100,incoming,"отдал 23,0 млн ₸ при видимом входе 985 тыс. ₸ — приток вне выборки, запросите входящие",984635.0,5,7
100000002224132100,incoming,"отдал 12,1 млн ₸ при видимом входе 4,0 млн ₸ — приток вне выборки, запросите входящие",3951020.0,5,2
100000005242320100,incoming,"отдал 8,9 млн ₸ при видимом входе 366 тыс. ₸ — приток вне выборки, запросите входящие",365700.0,2,2
100000000437046100,incoming,"отдал 7,6 млн ₸ при видимом входе 1,1 млн ₸ — приток вне выборки, запросите входящие",1107200.0,9,7
100000004400305100,incoming,"отдал 5,8 млн ₸ при видимом входе 223 тыс. ₸ — приток вне выборки, запросите входящие",222800.0,7,7
100000008710791100,incoming,"отдал 5,5 млн ₸ при видимом входе 182 тыс. ₸ — приток вне выборки, запросите входящие",181510.0,3,9
100000002963189100,incoming,"отдал 5,2 млн ₸ при видимом входе 490 тыс. ₸ — приток вне выборки, запросите входящие",490000.0,1,7
100000008547948100,incoming,"отдал 5,2 млн ₸ при видимом входе 213 тыс. ₸ — приток вне выборки, запросите входящие",212665.0,6,8
100000008603629100,incoming,"отдал 5,0 млн ₸ при видимом входе 1,8 млн ₸ — приток вне выборки, запросите входящие",1817300.0,19,7
100000003835149100,incoming,"отдал 4,6 млн ₸ при видимом входе 248 тыс. ₸ — приток вне выборки, запросите входящие",248500.0,1,1
