rank,gid,role,priority_score,why
1,100000008603629100,coordinator,1.0,"Кандидат в координаторы: собирает от 19 плательщиков (1,8 млн ₸) и раздаёт 61 получателю (5,0 млн ₸); в ядре-кольце из 85; синхронный сбор: 4 плат. в 1 день; блокировка отсекает 8,2 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; роль устойчива в 50 из 50"
2,100000000437046100,coordinator,0.999,"Кандидат в координаторы: собирает от 9 плательщиков (1,1 млн ₸) и раздаёт 42 получателям (7,6 млн ₸); в ядре-кольце из 85; синхронный сбор: 3 плат. в 1 день; блокировка отсекает 9,2 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; роль устойчива в 50 из 50"
3,100000008477350100,coordinator,0.9969,"Кандидат в координаторы: собирает от 11 плательщиков (610 тыс. ₸) и раздаёт 39 получателям (3,4 млн ₸); в ядре-кольце из 85; блокировка отсекает 4,7 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; роль устойчива в 50 из 50"
4,100000008346837100,coordinator,0.9857,"Кандидат в координаторы: собирает от 9 плательщиков (254 тыс. ₸) и раздаёт 25 получателям (1,3 млн ₸); в ядре-кольце из 85; синхронный сбор: 4 плат. в 1 день; блокировка отсекает 2,0 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; роль устойчива в 50 из 50"
5,100000003115284100,consolidator,0.9588,"Признаки консолидации: 8 плательщиков (курьеров: 2), вход 2,2 млн ₸, дальше 2 получ., удержано 76%; синхронный сбор: 7 плат. в 1 день; блокировка отсекает 2,8 млн ₸. Главное в приоритете: посредничество — в верхних 6 % узлов; роль устойчива в 50 из 50"
6,100000001857829100,consolidator,0.9509,"Признаки консолидации: 6 плательщиков (курьеров: 0), вход 889 тыс. ₸, дальше 16 получ., отдал больше, чем видно входящих; в ядре-кольце из 85; синхронный сбор: 3 плат. в 1 день. Главное в приоритете: блокировка отсекает 7,8 млн ₸; посредничество — в верхних 1 % узлов"
7,100000008686313100,consolidator,0.9447,"Признаки консолидации: 6 плательщиков (курьеров: 1), вход 1,9 млн ₸, дальше 7 получ., удержано 83%; в ядре-кольце из 85; блокировка отсекает 2,2 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; роль устойчива в 33 из 50"
8,100000008165763100,consolidator,0.9401,"Признаки консолидации: 15 плательщиков (курьеров: 1), вход 1,2 млн ₸, дальше 17 получ., отдал больше, чем видно входящих; синхронный сбор: 4 плат. в 1 день; блокировка отсекает 2,4 млн ₸. Главное в приоритете: посредничество — в верхних 3 % узлов; оборот 1,3 млн ₸"
9,100000005782781100,consolidator,0.9352,"Признаки консолидации: 6 плательщиков (курьеров: 0), вход 172 тыс. ₸, дальше 10 получ., отдал больше, чем видно входящих; в ядре-кольце из 85; синхронный сбор: 3 плат. в 1 день. Главное в приоритете: блокировка отсекает 1,5 млн ₸; посредничество — в верхних 2 % узлов"
10,100000007594394100,consolidator,0.934,"Признаки консолидации: 6 плательщиков (курьеров: 0), вход 395 тыс. ₸, дальше 1 получ., отдал больше, чем видно входящих; блокировка отсекает 3,8 млн ₸. Главное в приоритете: посредничество — в верхних 13 % узлов; оборот 3,4 млн ₸"
11,100000004015047100,consolidator,0.9289,"Признаки консолидации: 9 плательщиков (курьеров: 3), вход 919 тыс. ₸, дальше 1 получ., удержано 92%; блокировка отсекает 988 тыс. ₸. Главное в приоритете: посредничество — в верхних 14 % узлов; роль устойчива в 50 из 50"
12,100000008730846100,consolidator,0.9257,"Признаки консолидации: 7 плательщиков (курьеров: 0), вход 155 тыс. ₸, дальше 3 получ., отдал больше, чем видно входящих; синхронный сбор: 4 плат. в 1 день; блокировка отсекает 683 тыс. ₸. Главное в приоритете: посредничество — в верхних 5 % узлов; оборот 363 тыс. ₸"
13,100000000331309100,distributor,0.9234,"Признаки веерной раздачи: 99 получателей, отправлено 23,0 млн ₸; в ядре-кольце из 85; синхронный сбор: 3 плат. в 1 день; блокировка отсекает 34,5 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; 5 плательщиков"
14,100000004299488100,consolidator,0.9225,"Признаки консолидации: 6 плательщиков (курьеров: 1), вход 1,7 млн ₸, дальше 2 получ., удержано 80%; синхронный сбор: 3 плат. в 1 день; блокировка отсекает 2,1 млн ₸. Главное в приоритете: посредничество — в верхних 15 % узлов; роль устойчива в 33 из 50"
15,100000000332284100,consolidator,0.9216,"Признаки консолидации: 10 плательщиков (курьеров: 0), вход 107 тыс. ₸, дальше 3 получ., отдал больше, чем видно входящих; синхронный сбор: 3 плат. в 1 день; блокировка отсекает 730 тыс. ₸. Главное в приоритете: посредничество — в верхних 7 % узлов; оборот 290 тыс. ₸"
16,100000002398779100,consolidator,0.9215,"Признаки консолидации: 13 плательщиков (курьеров: 0), вход 1,1 млн ₸, дальше 1 получ., удержано 94%; синхронный сбор: 7 плат. в 1 день; блокировка отсекает 1,2 млн ₸. Главное в приоритете: посредничество — в верхних 21 % узлов; роль устойчива в 50 из 50"
17,100000005933757100,distributor,0.9199,"Признаки веерной раздачи: 34 получателя, отправлено 3,0 млн ₸; в ядре-кольце из 85; блокировка отсекает 10,6 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; 4 плательщика"
18,100000004759121100,consolidator,0.9189,"Признаки консолидации: 6 плательщиков (курьеров: 1), вход 710 тыс. ₸, дальше 2 получ., удержано 56%; блокировка отсекает 1,1 млн ₸. Главное в приоритете: посредничество — в верхних 8 % узлов; роль устойчива в 33 из 50"
19,100000008547948100,distributor,0.9189,"Признаки веерной раздачи: 26 получателей, отправлено 5,2 млн ₸; синхронный сбор: 4 плат. в 1 день; блокировка отсекает 8,2 млн ₸. Главное в приоритете: 6 плательщиков; посредничество — в верхних 2 % узлов"
20,100000007055802100,consolidator,0.9158,"Признаки консолидации: 6 плательщиков (курьеров: 1), вход 2,0 млн ₸, дальше 1 получ., удержано 70%; синхронный сбор: 4 плат. в 1 день; блокировка отсекает 2,6 млн ₸. Главное в приоритете: посредничество — в верхних 22 % узлов; роль устойчива в 33 из 50"
21,100000004156082100,distributor,0.9148,"Признаки веерной раздачи: 26 получателей, отправлено 2,3 млн ₸; в ядре-кольце из 85; блокировка отсекает 2,9 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; 5 плательщиков"
22,100000008111003100,consolidator,0.9124,"Признаки консолидации: 6 плательщиков (курьеров: 0), вход 223 тыс. ₸, дальше 1 получ., удержано 84%; в ядре-кольце из 85; блокировка отсекает 1,2 млн ₸. Главное в приоритете: посредничество — в верхних 2 % узлов; роль устойчива в 33 из 50"
23,100000008489922100,distributor,0.9099,"Признаки веерной раздачи: 36 получателей, отправлено 3,8 млн ₸; блокировка отсекает 4,1 млн ₸. Главное в приоритете: посредничество — в верхних 2 % узлов; 3 плательщика"
24,100000008710791100,distributor,0.9067,"Признаки веерной раздачи: 23 получателя, отправлено 5,5 млн ₸; блокировка отсекает 6,0 млн ₸. Главное в приоритете: посредничество — в верхних 3 % узлов; 3 плательщика"
25,100000008304139100,distributor,0.9063,"Признаки веерной раздачи: 24 получателя, отправлено 1,7 млн ₸; в ядре-кольце из 85; блокировка отсекает 2,0 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; 4 плательщика"
26,100000008560717100,consolidator,0.9056,"Признаки консолидации: 7 плательщиков (курьеров: 1), вход 529 тыс. ₸, дальше 1 получ., удержано 95%; блокировка отсекает 554 тыс. ₸. Главное в приоритете: посредничество — в верхних 19 % узлов; роль устойчива в 50 из 50"
27,100000002957787100,distributor,0.905,"Признаки веерной раздачи: 34 получателя, отправлено 1,3 млн ₸; в ядре-кольце из 85; блокировка отсекает 1,8 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; 4 плательщика"
28,100000001697501100,distributor,0.9048,"Признаки веерной раздачи: 38 получателей, отправлено 1,5 млн ₸; блокировка отсекает 6,9 млн ₸. Главное в приоритете: посредничество — в верхних 4 % узлов; 3 плательщика"
29,100000003242289100,distributor,0.9046,"Признаки веерной раздачи: 23 получателя, отправлено 2,4 млн ₸; в ядре-кольце из 85; блокировка отсекает 3,4 млн ₸. Главное в приоритете: посредничество — в верхних 2 % узлов; 3 плательщика"
30,100000004400305100,distributor,0.8995,"Признаки веерной раздачи: 82 получателя, отправлено 5,8 млн ₸; в ядре-кольце из 85; блокировка отсекает 8,6 млн ₸. Главное в приоритете: посредничество — в верхних 1 % узлов; 7 плательщиков"
